# bins UNIT SHAM
9.675000000000000000e+02 5.510000000000000000e+02 6.436666666666666003e+01
9.825000000000000000e+02 4.700000000000000000e+02 5.710000000000000142e+01
9.975000000000000000e+02 4.070000000000000000e+02 4.716666666666666430e+01
1.012500000000000000e+03 3.550000000000000000e+02 3.783333333333333570e+01
1.027500000000000000e+03 3.330000000000000000e+02 3.486666666666666714e+01
1.042500000000000000e+03 2.930000000000000000e+02 2.976666666666666572e+01
1.057500000000000000e+03 2.540000000000000000e+02 2.693333333333333357e+01
1.072500000000000000e+03 2.160000000000000000e+02 1.956666666666666643e+01
1.087500000000000000e+03 1.930000000000000000e+02 1.913333333333333286e+01
1.102500000000000000e+03 1.780000000000000000e+02 1.576666666666666750e+01
1.117500000000000000e+03 1.650000000000000000e+02 1.480000000000000071e+01
1.132500000000000000e+03 1.520000000000000000e+02 1.366666666666666607e+01
1.147500000000000000e+03 1.370000000000000000e+02 1.226666666666666750e+01
1.162500000000000000e+03 1.140000000000000000e+02 8.900000000000000355e+00
1.177500000000000000e+03 1.150000000000000000e+02 9.733333333333332504e+00
1.192500000000000000e+03 9.800000000000000000e+01 7.133333333333333748e+00
1.207500000000000000e+03 9.000000000000000000e+01 6.233333333333333393e+00
1.222500000000000000e+03 8.500000000000000000e+01 6.700000000000000178e+00
1.237500000000000000e+03 8.500000000000000000e+01 5.733333333333333393e+00
1.252500000000000000e+03 6.700000000000000000e+01 4.466666666666666785e+00
1.267500000000000000e+03 4.200000000000000000e+01 2.866666666666666696e+00
1.282500000000000000e+03 4.900000000000000000e+01 2.866666666666666696e+00
1.297500000000000000e+03 4.700000000000000000e+01 2.966666666666666785e+00
1.312500000000000000e+03 4.700000000000000000e+01 2.833333333333333481e+00
1.327500000000000000e+03 4.300000000000000000e+01 2.533333333333333215e+00
1.342500000000000000e+03 2.500000000000000000e+01 1.266666666666666607e+00
1.357500000000000000e+03 2.900000000000000000e+01 1.300000000000000044e+00
1.372500000000000000e+03 3.000000000000000000e+01 1.666666666666666741e+00
1.387500000000000000e+03 2.500000000000000000e+01 1.399999999999999911e+00
1.402500000000000000e+03 2.000000000000000000e+01 8.000000000000000444e-01
1.417500000000000000e+03 1.900000000000000000e+01 8.333333333333333703e-01
1.432500000000000000e+03 1.400000000000000000e+01 6.333333333333333037e-01
1.447500000000000000e+03 1.000000000000000000e+01 3.666666666666666408e-01
1.462500000000000000e+03 1.400000000000000000e+01 6.333333333333333037e-01
1.477500000000000000e+03 1.300000000000000000e+01 5.000000000000000000e-01
1.492500000000000000e+03 6.000000000000000000e+00 4.333333333333333481e-01
inf 1.771701140000000000e+08 8.800000000000000000e+04
