sim analy
3.401853387755102e-10 4.074855111216201e-08
3.320936489795918e-10 4.074855111216201e-08
3.361729306122449e-10 4.074855111216201e-08
3.351698285714286e-10 4.074855111216201e-08
3.4326151836734695e-10 4.074855111216201e-08
3.3817913469387756e-10 4.074855111216201e-08
3.4058657959183675e-10 4.074855111216201e-08
3.429271510204082e-10 4.074855111216201e-08
3.385135020408163e-10 4.074855111216201e-08
3.343673469387755e-10 4.074855111216201e-08
3.3951660408163266e-10 4.074855111216201e-08
3.354373224489796e-10 4.074855111216201e-08
3.3537044897959185e-10 4.074855111216201e-08
3.427265306122449e-10 4.074855111216201e-08
3.353035755102041e-10 4.074855111216201e-08
3.4874514285714286e-10 4.074855111216201e-08
3.319599020408163e-10 4.074855111216201e-08
3.391822367346939e-10 4.074855111216201e-08
3.4326151836734695e-10 4.074855111216201e-08
3.3537044897959185e-10 4.074855111216201e-08
3.446658612244898e-10 4.074855111216201e-08
3.390484897959184e-10 4.074855111216201e-08
3.357048163265306e-10 4.074855111216201e-08
3.3951660408163266e-10 4.074855111216201e-08
3.3376548571428574e-10 4.074855111216201e-08
3.4031908571428574e-10 4.074855111216201e-08
3.4433149387755104e-10 4.074855111216201e-08
3.2854935510204083e-10 4.074855111216201e-08
3.387141224489796e-10 4.074855111216201e-08
3.417234285714286e-10 4.074855111216201e-08
3.4279340408163263e-10 4.074855111216201e-08
3.500157387755102e-10 4.074855111216201e-08
3.4025221224489793e-10 4.074855111216201e-08
3.452677224489796e-10 4.074855111216201e-08
3.3055555918367346e-10 4.074855111216201e-08
3.411884408163265e-10 4.074855111216201e-08
3.3403297959183675e-10 4.074855111216201e-08
3.4312777142857145e-10 4.074855111216201e-08
3.3724290612244897e-10 4.074855111216201e-08
3.4727392653061226e-10 4.074855111216201e-08
3.3282925714285715e-10 4.074855111216201e-08
3.357048163265306e-10 4.074855111216201e-08
3.359723102040816e-10 4.074855111216201e-08
3.421246693877551e-10 4.074855111216201e-08
3.4580271020408165e-10 4.074855111216201e-08
3.3744352653061223e-10 4.074855111216201e-08
3.3175928163265306e-10 4.074855111216201e-08
